Date,Price,Date2,Open,High,Low,Price2,Vol.,Change %,Column1,valitability in ($),Daily valitability in %,,,,,,,,,,,,,,,,,
27-Mar-20,"2,541.47",27-Mar-20,"2,555.87","2,615.91","2,520.02","2,541.47",-,-3.37%,3%,95.89,3.75%,,,,,,,,,,,,,,,,,
26-Mar-20,"2,630.07",26-Mar-20,"2,501.29","2,637.01","2,500.72","2,630.07",-,6.24%,6%,136.29,5.45%,,,,,,,,,,,,,,,,,
25-Mar-20,"2,475.56",25-Mar-20,"2,457.77","2,571.42","2,407.53","2,475.56",-,1.15%,1%,163.89,6.67%,,,,,,,,,,,,,,,,,
24-Mar-20,"2,447.33",24-Mar-20,"2,344.44","2,449.71","2,344.44","2,447.33",-,9.38%,9%,105.27,4.49%,,,,,,,,,,,,,,,,,
23-Mar-20,"2,237.40",23-Mar-20,"2,290.71","2,300.73","2,191.86","2,237.40",-,-2.93%,3%,108.87,4.75%,,,,,,,,,,,,,,,,,
20-Mar-20,"2,304.92",20-Mar-20,"2,431.94","2,453.01","2,295.56","2,304.92",-,-4.34%,4%,157.45,6.47%,,,,,,,,,,,,,,,,,
19-Mar-20,"2,409.39",19-Mar-20,"2,393.48","2,466.97","2,319.78","2,409.39",-,0.47%,0%,147.19,6.15%,,,,,,,,,,,,,,,,,
18-Mar-20,"2,398.10",18-Mar-20,"2,436.50","2,453.57","2,280.52","2,398.10",-,-5.18%,5%,173.05,7.10%,,,,,,,,,,,,,,,,,
17-Mar-20,"2,529.19",17-Mar-20,"2,425.66","2,553.93","2,367.04","2,529.19",-,6.00%,6%,186.89,7.70%,,,,,,,,,,,,,,,,,
16-Mar-20,"2,386.13",16-Mar-20,"2,508.59","2,562.98","2,380.94","2,386.13",-,-11.98%,12%,182.04,7.26%,,,,,,,,,,,,,,,,,
13-Mar-20,"2,711.02",13-Mar-20,"2,569.99","2,711.33","2,492.37","2,711.02",-,9.29%,9%,218.96,8.52%,,,,,,,,,,,,,,,,,
12-Mar-20,"2,480.64",12-Mar-20,"2,630.86","2,660.95","2,478.86","2,480.64",-,-9.51%,10%,182.09,6.92%,,,,,,,,,,,,,,,,,
11-Mar-20,"2,741.38",11-Mar-20,"2,825.60","2,825.60","2,707.22","2,741.38",-,-4.89%,5%,118.38,4.19%,,,,,,,,,,,,,,,,,
10-Mar-20,"2,882.23",10-Mar-20,"2,813.48","2,882.59","2,734.00","2,882.23",-,4.94%,5%,148.59,5.28%,,,,,,,,,,,,,,,,,
9-Mar-20,"2,746.56",9-Mar-20,"2,863.89","2,863.89","2,734.43","2,746.56",-,-7.60%,8%,129.46,4.52%,,,,,,,,,,,,,,,,,
6-Mar-20,"2,972.37",6-Mar-20,"2,954.20","2,985.93","2,901.54","2,972.37",-,-1.71%,2%,84.39,2.86%,,,,,,,,,,,,,,,,,
5-Mar-20,"3,023.94",5-Mar-20,"3,075.70","3,083.04","2,999.83","3,023.94",-,-3.39%,3%,83.21,2.71%,,,,,,,,,,,,,,,,,
4-Mar-20,"3,130.12",4-Mar-20,"3,045.75","3,130.97","3,034.38","3,130.12",-,4.22%,4%,96.59,3.17%,,,,,,,,,,,,,,,,,
3-Mar-20,"3,003.37",3-Mar-20,"3,096.46","3,136.72","2,976.63","3,003.37",-,-2.81%,3%,160.09,5.17%,,,,,,,,,,,,,,,,,
2-Mar-20,"3,090.23",2-Mar-20,"2,974.28","3,090.96","2,945.19","3,090.23",-,4.60%,5%,145.77,4.90%,,,,,,,,,,,,,,,,,
28-Feb-20,"2,954.22",28-Feb-20,"2,916.90","2,959.72","2,855.84","2,954.22",-,-0.82%,1%,103.88,3.56%,,,,,,,,,,,,,,,,,
27-Feb-20,"2,978.76",27-Feb-20,"3,062.54","3,097.07","2,977.39","2,978.76",-,-4.42%,4%,119.68,3.91%,,,Results,,,,,,,,,,,,,,
